"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"413","Simi Fehoko","DAL","wr","9","17","10.4","0","0","0","0","0","0","0","0","0","0","5.3847","3.4594","50.4179","0.3095","0.0336","0.0168","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"414","Isaiah Hodgins","BUF","wr","7","17","9.9","0","0","0","0","0","0","0","0","0","0","5.3555","3.5849","46.4308","0.2859","0.0349","0.0174","0.0101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"415","Mohamed Sanu","MIA","wr","11","1","9.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.343","0.3471","0.5145","0.5535","0.5717","0.7454","0.343","0.5128","2.7292","2.9596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","Justin Watson","KC","wr","8","17","9","0","0","0","0","0","0","0","0","0","0","4.8735","3.2228","41.1339","0.2859","0.0307","0.0154","0.0063","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"417","Andy Isabella","ARZ","wr","13","17","8.6","0","0","0","0","0","0","0","0.8086","4.5006","0.0288","4.4505","2.9823","35.7979","0.2404","0.0368","0.0184","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"418","Brandon Powell","LA","wr","7","17","8.5","0","0","0","0","0","0","0","0","0","0","4.8135","3.404","36.447","0.2717","0.3966","0.1983","0.0084","535.8381","0.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"419","Jeff Smith","NYJ","wr","10","17","8.1","0","0","0","0","0","0","0","0","0","0","5.6903","3.2979","37.112","0.1817","0.0292","0.0146","0.0084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"420","Dax Milne","WAS","wr","14","17","7.3","0","0","0","0","0","0","0","0.4042","2.4959","0.0157","3.9132","2.4692","32.9878","0.1981","0.0357","0.0178","0.0075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"421","Stanley Morgan Jr.","CIN","wr","10","17","6.2","0","0","0","0","0","0","0","0","0","0","3.4416","2.3553","27.2564","0.1882","0.0227","0.0113","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"422","Gunner Olszewski","PIT","wr","9","17","5.9","0","0","0","0","0","0","0","0.7736","4.4215","0.0282","3.4656","2.2265","27.6489","0.1605","1.317","0.6585","0.0061","1284.4987","0.8547","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","Samori Toure","GB","wr","14","17","5.6","0","0","0","0","0","0","0","0","0","0","2.8364","1.8689","27.1415","0.1743","0.0182","0.0091","0.0068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"424","Demarcus Robinson","BLT","wr","10","17","4","0","0","0","0","0","0","0","0","0","0","2.4745","1.6088","17.6883","0.1056","0.0169","0.0084","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"425","Jaelon Darden","TB","wr","11","17","1.3","0","0","0","0","0","0","0","0.7991","4.9182","0.0284","0.655","0.454","5.2063","0.0366","1.0844","0.5422","0.004","1063.9234","0.7549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
