"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"115","Damien Williams","ATL","rb","14","17","107.2","2","0","0","0","0","0","0","117.5892","486.4716","4.5574","26.4242","21.5451","157.9303","0.8069","0.9351","0.4675","0.1252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Kenneth Walker III","SEA","rb","11","17","107.2","2","0","0","0","0","0","0","137.9338","584.1873","3.7611","22.0541","17.9365","136.0971","0.6476","1.1081","0.5541","0.1392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"117","Courtland Sutton","DEN","wr","9","17","148.2","2","0","0","0","0","0","0","0","0","0","99.2136","59.0691","845.2124","5.6133","0.4607","0.2303","0.357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"118","Dameon Pierce","HST","rb","6","17","106.5","1","0","0","0","0","0","0","117.5764","456.8454","2.8751","36.8448","29.907","224.8342","1.0655","1.098","0.549","0.1636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","Jakobi Meyers","NE","wr","10","17","147","1","0","0","0","0","0","0","0.9107","5.1758","0.033","100.124","70.0377","799.6671","5.074","0.8355","0.4177","0.6139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"120","Chris Olave","NO","wr","14","17","146.8","1","0","0","0","0","0","0","0.8556","5.6833","0.0334","97.8071","63.0272","839.6214","5.0646","0.6232","0.3116","0.2636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","Michael Carter","NYJ","rb","10","17","105.1","1","0","0","0","0","0","0","104.716","452.0671","3.0336","37.138","30.2716","215.6404","0.866","0.8152","0.4076","0.1035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"122","Ronald Jones","KC","rb","8","17","105","1","0","0","0","0","0","0","126.8263","541.935","5.3986","16.308","13.2341","95.826","0.4428","1.0486","0.5243","0.0326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","Noah Fant","SEA","te","11","17","109.2","0","0","0","0","0","0","0","0","0","0","74.9838","57.5995","588.3098","3.5219","0.4818","0.2409","0.3286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","Garrett Wilson","NYJ","wr","10","17","144.8","0","0","0","0","0","0","0","1.5121","10.0714","0.0637","95.722","61.6246","813.532","5.1868","0.6175","0.3087","0.1975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
